query_id,relevant_retrieved,k_retrieved,precision_at_10
query-test-1,1,2313,0.1
query-test-101,9,2313,0.9
query-test-107,1,2313,0.1
query-test-112,9,2313,0.9
query-test-114,22,2313,2.2
query-test-122,19,2313,1.9
query-test-14,4,2313,0.4
query-test-147,9,2313,0.9
query-test-156,9,2313,0.9
query-test-159,7,2313,0.7
query-test-162,6,2313,0.6
query-test-165,1,2313,0.1
query-test-167,1,2313,0.1
query-test-183,1,2313,0.1
query-test-185,1,2313,0.1
query-test-188,13,2313,1.3
query-test-203,1,2313,0.1
query-test-2058,4,2313,0.4
query-test-2063,8,2313,0.8
query-test-2067,4,2313,0.4
query-test-210,1,2313,0.1
query-test-217,8,2313,0.8
query-test-22,13,2313,1.3
query-test-236,3,2313,0.3
query-test-238,5,2313,0.5
query-test-239,1,2313,0.1
query-test-24,5,2313,0.5
query-test-245,5,2313,0.5
query-test-248,2,2313,0.2
query-test-258,11,2313,1.1
query-test-26,6,2313,0.6
query-test-260,10,2313,1.0
query-test-273,2,2313,0.2
query-test-278,2,2313,0.2
query-test-28,7,2313,0.7
query-test-292,1,2313,0.1
query-test-296,1,2313,0.1
query-test-304,1,2313,0.1
query-test-307,1,2313,0.1
query-test-315,1,2313,0.1
query-test-317,4,2313,0.4
query-test-325,7,2313,0.7
query-test-337,3,2313,0.3
query-test-43,1,2313,0.1
query-test-53,7,2313,0.7
query-test-67,5,2313,0.5
query-test-73,4,2313,0.4
query-test-8,2,2313,0.2
query-test-84,1,2313,0.1
query-test-9,2,2313,0.2
query-test-93,2,2313,0.2
query-test-95,1,2313,0.1
query-test-103,1,2313,0.1
query-test-109,16,2313,1.6
query-test-11,8,2313,0.8
query-test-115,1,2313,0.1
query-test-116,1,2313,0.1
query-test-117,12,2313,1.2
query-test-148,26,2313,2.6
query-test-16,1,2313,0.1
query-test-168,11,2313,1.1
query-test-172,3,2313,0.3
query-test-190,4,2313,0.4
query-test-2054,2,2313,0.2
query-test-2055,3,2313,0.3
query-test-2057,9,2313,0.9
query-test-2069,2,2313,0.2
query-test-211,7,2313,0.7
query-test-226,1,2313,0.1
query-test-230,1,2313,0.1
query-test-232,11,2313,1.1
query-test-249,7,2313,0.7
query-test-251,2,2313,0.2
query-test-253,1,2313,0.1
query-test-261,1,2313,0.1
query-test-265,1,2313,0.1
query-test-266,1,2313,0.1
query-test-267,7,2313,0.7
query-test-280,4,2313,0.4
query-test-281,1,2313,0.1
query-test-287,8,2313,0.8
query-test-297,3,2313,0.3
query-test-305,9,2313,0.9
query-test-31,8,2313,0.8
query-test-312,10,2313,1.0
query-test-319,2,2313,0.2
query-test-331,2,2313,0.2
query-test-341,5,2313,0.5
query-test-39,7,2313,0.7
query-test-40,1,2313,0.1
query-test-49,1,2313,0.1
query-test-52,2,2313,0.2
query-test-55,18,2313,1.8
query-test-58,3,2313,0.3
query-test-59,11,2313,1.1
query-test-75,1,2313,0.1
query-test-80,7,2313,0.7
query-test-89,3,2313,0.3
query-test-90,2,2313,0.2
query-test-96,2,2313,0.2
