doc_id,text_ocr
corpus-test-0,"FDA U.S. FOOD & DRUG ADMINISTRATION FDA Drug Topics: An Update on Transmucosal Buprenorphine and Dental Caries Mark A. Liberatore, PharmD, RAC Commander, United States Public Health Service Deputy Director for Safety Division of Anesthesiology, Addiction Medicine, and Pain Medicine, Office of New Drugs, Center for Drug Evaluation and Research, U.S. Food and Drug Administration"
corpus-test-1,"Learning Objectives FDA 1. Discuss the national opioid crisis, opioid use disorder, and available treatments 2. Describe cases of dental caries with the use of transmucosal buprenorphine-containing products 3. Review FDA's framework for updating product labeling and explain FDA's findings and the resulting regulatory action 4. Summarize how healthcare providers can help mitigate these adverse events"
corpus-test-2,FDA SAFETY SIGNAL
corpus-test-3,"How it Began... FDA Office of Surveillance and Epidemiology (OSE), Division of Pharmacovigilance II (DPV II) monitors FDA's Adverse Event Reporting System (FAERS) July 2018: A report was found of patient who experienced dental caries following the use of sublingual product containing buprenorphine/naloxone A disproportionality analysis published using WHO database hypothesized that products containing buprenorphine have a high disproportionality for dental caries OSE opened a tracked safety issue (known today as a Newly Identified Safety Signal (NiSS)) and an investigation ensued"
corpus-test-8,FDA REVIEW OF SAFETY SIGNAL
corpus-test-9,"Summary of Case Characteristics FDA 50% female Formulation reported: 238 Age: Film only: 143 Mean: 41.8 years Tablet only: 48 Median: 36.2 years 1 Tablet and Film: 47 Range: 18-71 years Indication for use: 194 HCP reporting: 65/305 (~21%) Opioid Dependence: 173 Serious outcomes = 131 - Pain: 28 Number of teeth: 182 Time to Diagnosis: 136 Two or more (e.g., ""teeth""): 113 Mean: 31.5 months ""Majority"": 6 Median: 24.25 months ""All"": 11 Range: 0.5-182 months"
corpus-test-12,"Presentation Outline FDA Background — Opioid Crisis and Opioid Use Disorder Overview and review of safety signal Description of FDA regulatory framework Action, communication, and reaction Takeaways/Summary Challenge Questions Panel discussion and Q & A References available at the bottom of this slide deck COv"
corpus-test-13,"Literature FDA Information The Primary Care Companion fr Authors FOR CNS DIsOrDERs Register About Us Now @ PCC Suzuki, J., L. Mittal, and S. B. Woo. 2013. 'Sublingual buprenorphine and dental problems: a case series', Prim Care Companion CNS Disord, 15. Mean age 34.4 years, predominantly white (91%), taking buprenorphine for a mean of 45.7 months (range 5-77) at a mean dose of 11.6mg/day (range, 2-20mg), took the medication a mean of 3.2 times per day. Average of 8.9 minutes (range 1-30 min) to dissolve completely Mean number of caries: 5.2 (range, 0-24) Majority of subjects (54.5%) reported tooth pain"
corpus-test-14,"Product-Specific Information* FDA DRUG X adheres to the Median dissolve time of Mean in vivo dissolution moist buccal mucosa and DRUG was 5 minutes time is 17.6 minutes for will completely dissolve while the median 8 mg tablet, 8.13 after appl lly dissolve time of DRUG Z minutes for 2 mg tablet within 30 minutes was 12.5 minutes The mean dissolution Dissolution testing time (seconds) was 241 described combination (cold beverage), 261 (hot product needing beverage), 222 (room 7 minutes to dissolve temperature water * Information listed is from different products"
corpus-test-16,FDA REGULATORY FRAMEWORK
